Nr,Nafn,Breidd,Lengd,Haed,Dags,Vindatt,VindattAsc,VindattAscEng,Vindhradi,Vindhvida,Hiti,Veghiti,Umf10Min,UmfSum,Raki,Daggarmark,VindattStDev,Loftthrystingur,Sjavarhaed,PntX,PntY,IdButur1,IdButur2,Nr_Vedurstofa,Status
2189,Geirsnef,64.12925,-21.839183,4,14.1.2024 12:50:00,140,SA,SE,0.93,1.47,-4.82,NA,NA,NA,73,-8.92,NA,NA,NA,361758.307,406032.976,NA,NA,1478,DWTH
2190,Selfoss,63.935467,-20.970667,4,14.1.2024 12:50:00,46,NA,NE,4.9,7.87,-7.25,NA,NA,NA,79,-10.272,NA,NA,NA,403356.886,382830.801,902040027,NA,6300,DWTH
2181,Þyrill,64.387733,-21.416883,53,14.1.2024 12:40:00,12,NNA,NNE,11.9,18.5,-6.4,NA,NA,NA,62,-12.492,NA,1034.4,NA,383410.887,433973.117,904210027,NA,1685,DWTPH
2110,Gufuskálar,64.9,-23.933333,7,14.1.2024 12:40:00,66,ANA,ENE,9.53,13.56,-3.94,NA,NA,NA,78,-7.213,NA,1037,NA,266654.322,497961.298,904360027,NA,1919,DWTPH
2111,Ólafsvík,64.895698,-23.716204,15,14.1.2024 12:50:00,81,A,E,3.03,5.91,-4.01,NA,NA,NA,74,-7.962,NA,NA,NA,276869.27,496699.21,904300027,NA,1924,DWTH
2113,Grundarfjörður,64.9213,-23.251267,10,14.1.2024 12:40:00,39,NA,NE,1.4,3.2,-4.4,NA,NA,NA,71,-8.871,NA,1038.8,NA,299022.944,497986.597,904310027,NA,1938,DWTPH
2114,Stykkishólmur,65.0717,-22.732367,12,14.1.2024 12:40:00,53,NA,NE,3.03,4.47,-4.98,NA,NA,NA,73,-9.075,NA,1037.6,NA,324512.614,513175.311,904320027,NA,2050,DWTPH
1131,Sandgerði,64.038144,-22.716848,NA,14.1.2024 12:50:00,18,NNA,NNE,10.37,12.94,-3.238,NA,NA,NA,NA,NA,6.606,1034.6,1.175,318470.846,398109.366,304290027,NA,NA,DWTP
1135,Skagaströnd,65.823961,-20.317948,NA,14.1.2024 12:50:00,20,NNA,NNE,4.393,7.15,-5.775,NA,NA,NA,NA,NA,9.94,1037.8,1.207,439750,592494,908740027,NA,NA,DWTP
2120,Hveravellir,64.86675,-19.562217,641,14.1.2024 12:40:00,13,NNA,NNE,3.48,4.41,-13.21,NA,NA,NA,85,-15.198,NA,1037.1,NA,473347.639,485263.517,NA,NA,6935,DWTPH
55,Vatnaleið,64.905745,-22.85795,228,14.1.2024 13:00:00,0,N  ,N  ,3.464,6.174,-7.1,-5.596,9,124,83.3,-9.452,NA,NA,NA,317486.822,495063.111,904330027,NA,31948,DWTRHCS
30,Breiðdalsheiði,64.906967,-14.6035,494,14.1.2024 13:00:00,296,VNV,WNW,12.76,17.54,-11.52,-6.095,0,0,79.3,-14.388,NA,NA,NA,707943.057,496862.146,911060027,NA,35965,DWTRHCS
77,Hafursfell,64.830983,-22.532817,65,14.1.2024 13:00:00,102,ASA,ESE,7.145,18.23,-5.488,-4.754,12,178,60.81,-11.869,20.33,NA,NA,332386.053,485842.369,904270027,NA,31958,DWTRHCS
32,Ögur,66.042048,-22.685693,21,14.1.2024 13:00:00,45,NA ,NE ,4.454,6.86,-6.264,-3.445,0,21,67.47,-11.307,NA,NA,NA,333008.841,621054.594,906160027,NA,32654,DWTRHCS
35,Skálholt,64.132283,-20.530783,98,14.1.2024 13:00:00,37,NA ,NE ,3.834,8.23,-7.23,-6.071,5,109,67.02,-12.316,NA,NA,NA,425455.57,404168.867,902080027,NA,36411,DWTRHCS
6,Mýrdalssandur,63.463675,-18.609565,37,14.1.2024 12:50:00,354,N  ,N  ,8.07,10.19,-4.72,-3.915,13,192,54,-12.624,13.14,NA,NA,519475.125,328783.556,901030027,NA,36156,DWTRHCS
10,Siglufjarðarvegur,66.128917,-19.0724,100,14.1.2024 13:00:00,38,NA ,NE ,5.905,8.43,-7.87,-5.9,0,46,69.35,-12.505,7.653,NA,NA,496728.942,625874.599,908140027,NA,33750,DWTRHCS
14,Reykjanesbraut,64.002433,-22.22985,25,14.1.2024 13:00:00,10,N  ,N  ,7.803,11.07,-4.076,-5.365,173,6352,65.03,-9.682,9.01,NA,NA,342030.028,392826.479,1441160027,1441620027,31363,DWTRHCS
18,Gjábakki,64.248117,-21.023033,132,14.1.2024 13:00:00,52,NA ,NE ,0.884,1.764,-7.611,-6.55,28,470,83.6,-9.908,27.5,NA,NA,401904.873,417749.326,902220027,NA,31599,DWTRHCS
20,Fremri-Háls,66.253117,-15.81625,197,14.1.2024 13:00:00,340,NNV,NNW,8.81,11.76,-9.12,-7.01,1,11,86.6,-10.945,NA,NA,NA,643084.929,643327.926,910170027,NA,34733,DWTRHCS
54,Gullfoss,64.307667,-20.212017,191,14.1.2024 13:00:00,63,ANA,ENE,9.63,14.21,-8.53,-7.55,17,245,70.2,-12.989,NA,NA,NA,441351.206,423380.526,902180027,NA,36519,DWTRHCS
29,Steinar undir Eyjafjöllum,63.5428,-19.6906,28,14.1.2024 12:50:00,92,A  ,E  ,1.519,2.842,2.639,-1.452,23,489,49.69,-6.841,NA,NA,NA,465649.356,337733.316,901210027,NA,36132,DWTRHCS
33,Sandvíkurheiði,65.891433,-14.825417,275,14.1.2024 13:00:00,326,NV ,NW ,13.15,15.78,-9.69,-7.88,1,5,95.4,-10.287,NA,NA,NA,690219.75,605672.573,910210027,NA,34559,DWTRHCS
37,Brattabrekka,64.868767,-21.5169,414,14.1.2024 13:00:00,5,N  ,N  ,8.9,14.01,-9.79,-6.492,2,73,82.8,-12.164,NA,NA,NA,380723.104,487744.556,904070027,NA,31985,DWTRHCS
58,Þverárfjall,65.780083,-20.018567,330,14.1.2024 13:00:00,63,ANA,ENE,6.226,7.84,-9.47,-6.742,5,57,84,-11.671,NA,NA,NA,453356.038,587349.073,908190027,NA,33424,DWTRHCS
61,Kolgrafafjörður,64.966384,-23.126153,18,14.1.2024 13:00:00,96,A  ,E  ,3.525,6.174,-4.314,-1.58,4,119,67.02,-9.525,NA,1035.7,NA,305256.932,502610.031,904310027,NA,31942,DWTRPHCS
62,Öxi,64.825733,-14.657317,531,14.1.2024 13:00:00,317,NV ,NW ,18.92,22.44,-12.04,-2.063,0,0,79.1,-14.926,NA,NA,NA,706023.309,487651.561,912110027,NA,35963,DWTRHCS
100,Selvogur,63.845633,-21.696283,32.5,14.1.2024 13:00:00,74,ANA,ENE,3.706,5.292,-6.93,-4.422,5,116,80,-9.801,9.16,NA,NA,367363.691,374138.093,902360027,NA,31380,DWTRHCS
103,Stafá,66.071083,-19.27845,40,14.1.2024 13:00:00,47,NA ,NE ,7.021,9.6,-6.6,NA,NA,NA,76.79,-9.999,10.1,NA,NA,487391.157,619450.919,908130027,NA,33643,DWTH
105,Eldhraun,63.733767,-18.197717,90,14.1.2024 13:00:00,332,NNV,NNW,5.788,10.78,-4.436,-3.388,13,205,52.36,-12.741,10.75,NA,NA,539635.326,359088.701,901020027,NA,36270,DWTRHCS
108,Miðsitja,65.4901,-19.286283,41,14.1.2024 13:00:00,104,ASA,ESE,1.195,1.568,-9.84,-8.51,16,212,85.1,-11.872,5.183,NA,NA,486743.076,554670.323,908030027,NA,NA,DWTRHCS
73,Króksfjörður,65.527717,-22.023383,72,14.1.2024 13:00:00,325,NV ,NW ,3.624,7.35,-6.376,-3.777,2,28,74.79,-10.117,15.97,NA,NA,360249.558,562176.826,905110027,NA,32372,DWTRHCS
59,Tjörnes,66.148683,-16.975367,102,14.1.2024 13:00:00,328,NNV,NNW,7.99,12.35,-7.98,-6.344,1,22,80.8,-10.7,NA,NA,NA,591387.469,629540.69,1085080027,NA,34700,DWTRHCS
